x,y,H,B,P,M
25,0,1,9,0,0
26,0,0,9,0,0
27,0,1,20,0,0
28,0,0,10,0,0
29,0,2,18,0,0
30,0,1,15,0,0
31,0,1,12,0,0
32,0,1,14,0,0
33,0,1,16,0,0
34,0,2,13,0,0
21,1,0,12,0,0
22,1,1,15,0,0
23,1,0,11,0,0
24,1,2,11,0,0
25,1,1,28,0,0
26,1,2,20,0,0
27,1,3,22,0,0
28,1,1,14,0,0
29,1,3,19,0,0
30,1,7,12,0,0
31,1,2,22,0,0
32,1,2,23,0,0
33,1,1,16,0,0
34,1,2,14,0,0
35,1,4,10,0,0
36,1,1,19,0,0
37,1,5,15,0,0
38,1,1,10,0,0
18,2,1,7,0,0
19,2,1,20,0,0
20,2,0,18,0,0
21,2,0,22,0,0
22,2,0,22,0,0
23,2,3,13,0,0
24,2,4,14,0,0
25,2,3,13,0,0
26,2,4,28,0,0
27,2,2,20,0,0
28,2,7,18,0,0
29,2,5,22,0,0
30,2,3,18,0,0
31,2,2,17,0,0
32,2,2,27,0,0
33,2,2,22,0,0
34,2,1,17,0,0
35,2,2,25,0,0
36,2,3,15,0,0
37,2,1,20,0,0
38,2,1,19,0,0
39,2,2,18,0,0
40,2,2,6,0,0
41,2,0,8,0,0
16,3,3,7,0,0
17,3,0,10,0,0
18,3,2,23,0,0
19,3,2,15,0,0
20,3,1,25,0,0
21,3,0,19,0,0
22,3,0,30,0,0
23,3,1,19,0,0
24,3,2,18,0,0
25,3,0,20,0,0
26,3,0,21,0,0
27,3,8,18,0,0
28,3,7,27,0,0
29,3,2,25,0,0
30,3,0,17,0,0
31,3,2,28,0,0
32,3,2,15,0,0
33,3,15,24,0,0
34,3,4,20,0,0
35,3,5,21,0,0
36,3,7,17,0,0
37,3,3,20,0,0
38,3,2,26,0,0
39,3,2,20,0,0
40,3,2,25,0,0
41,3,3,15,0,0
42,3,3,18,0,0
43,3,0,10,0,0
14,4,1,12,0,0
15,4,2,18,0,0
16,4,1,17,0,0
17,4,2,21,0,0
18,4,4,18,0,0
19,4,0,25,0,0
20,4,1,21,0,0
21,4,4,13,0,0
22,4,2,14,0,0
23,4,4,14,0,0
24,4,1,17,0,0
25,4,2,23,0,0
26,4,1,20,0,0
27,4,0,28,0,0
28,4,2,20,0,0
29,4,1,19,0,0
30,4,0,15,0,0
31,4,1,22,0,0
32,4,1,26,0,0
33,4,2,17,0,0
34,4,1,10,0,0
35,4,7,15,0,0
36,4,4,17,0,0
37,4,1,18,0,0
38,4,3,12,0,0
39,4,3,23,0,0
40,4,2,29,0,0
41,4,1,18,0,0
42,4,3,13,0,0
43,4,3,12,0,0
44,4,0,16,0,0
45,4,1,15,0,0
13,5,1,11,0,0
14,5,1,19,0,0
15,5,5,17,0,0
16,5,4,20,0,0
17,5,3,13,0,0
18,5,1,26,0,0
19,5,0,24,0,0
20,5,3,16,0,0
21,5,3,19,0,0
22,5,1,19,0,0
23,5,3,25,0,0
24,5,0,19,0,0
25,5,2,21,0,0
26,5,3,14,0,0
27,5,0,14,0,0
28,5,1,21,0,0
29,5,2,19,0,0
30,5,1,24,0,0
31,5,0,7,0,0
32,5,2,24,0,0
33,5,1,26,0,0
34,5,2,15,0,0
35,5,2,19,0,0
36,5,2,16,0,0
37,5,3,16,0,0
38,5,7,22,0,0
39,5,1,17,0,0
40,5,0,15,0,0
41,5,5,18,0,0
42,5,1,24,0,0
43,5,2,20,0,0
44,5,2,16,0,0
45,5,3,26,0,0
46,5,4,11,0,0
11,6,2,12,0,0
12,6,2,10,0,0
13,6,1,17,0,0
14,6,0,23,0,0
15,6,1,17,0,0
16,6,2,19,0,0
17,6,2,32,0,0
18,6,2,14,0,0
19,6,1,15,0,0
20,6,4,29,0,0
21,6,0,21,0,0
22,6,2,16,0,0
23,6,0,18,0,0
24,6,1,21,0,0
25,6,3,18,0,0
26,6,3,16,0,0
27,6,0,23,0,0
28,6,2,15,0,0
29,6,2,15,0,0
30,6,5,16,0,0
31,6,1,18,0,0
32,6,4,19,0,0
33,6,2,19,0,0
34,6,0,17,0,0
35,6,2,20,0,0
36,6,0,15,0,0
37,6,2,25,0,0
38,6,5,18,0,0
39,6,2,21,0,0
40,6,3,19,0,0
41,6,5,17,0,0
42,6,1,19,0,0
43,6,3,16,0,0
44,6,2,17,0,0
45,6,4,16,0,0
46,6,1,8,0,0
47,6,2,7,0,0
48,6,0,9,0,0
10,7,0,9,0,0
11,7,2,17,0,0
12,7,2,19,0,0
13,7,2,15,0,0
14,7,1,17,0,0
15,7,1,27,0,0
16,7,1,18,0,0
17,7,3,25,0,0
18,7,1,13,0,0
19,7,3,23,0,0
20,7,1,22,0,0
21,7,0,21,0,0
22,7,1,26,0,0
23,7,1,10,0,0
24,7,3,19,0,0
25,7,8,10,0,0
26,7,2,23,0,0
27,7,1,22,0,0
28,7,1,22,0,0
29,7,1,21,0,0
30,7,0,24,0,0
31,7,5,8,0,0
32,7,0,26,0,0
33,7,0,19,0,0
34,7,3,17,0,0
35,7,1,19,0,0
36,7,2,15,0,0
37,7,2,18,0,0
38,7,2,27,0,0
39,7,1,20,0,0
40,7,2,19,0,0
41,7,3,26,0,0
42,7,1,21,0,0
43,7,1,19,0,0
44,7,1,23,0,0
45,7,0,24,0,0
46,7,1,15,0,0
47,7,1,16,0,0
48,7,4,23,0,0
49,7,1,9,0,0
9,8,0,13,0,0
10,8,1,19,0,0
11,8,2,31,0,0
12,8,3,24,0,0
13,8,2,17,0,0
14,8,2,24,0,0
15,8,1,26,0,0
16,8,5,16,0,0
17,8,2,16,0,0
18,8,4,16,0,0
