x,y,H,B,P,M
25,0,11,0,0,0
26,0,10,1,0,0
27,0,14,0,0,0
28,0,7,4,0,0
29,0,4,1,0,0
30,0,13,1,0,0
31,0,12,1,0,0
32,0,6,4,0,0
33,0,5,2,0,0
34,0,10,1,0,0
21,1,6,3,0,0
22,1,12,0,0,0
23,1,6,1,0,0
24,1,15,0,0,0
25,1,39,1,0,0
26,1,43,2,0,0
27,1,23,1,0,0
28,1,34,4,0,0
29,1,9,1,0,0
30,1,16,2,0,0
31,1,39,2,0,0
32,1,20,2,0,0
33,1,22,0,0,0
34,1,35,0,0,0
35,1,10,1,0,0
36,1,15,0,0,0
37,1,8,1,0,0
38,1,0,1,0,0
18,2,8,0,0,0
19,2,13,2,0,0
20,2,10,0,0,0
21,2,21,0,0,0
22,2,17,1,0,0
23,2,17,1,0,0
24,2,10,3,0,0
25,2,28,5,0,0
26,2,39,3,0,0
27,2,31,2,0,0
28,2,16,4,0,0
29,2,15,3,0,0
30,2,11,2,0,0
31,2,6,3,0,0
32,2,14,3,0,0
33,2,21,2,0,0
34,2,29,0,0,0
35,2,14,1,0,0
36,2,13,1,0,0
37,2,4,3,0,0
38,2,3,1,0,0
39,2,12,2,0,0
40,2,21,0,0,0
41,2,13,3,0,0
16,3,8,0,0,0
17,3,13,1,0,0
18,3,34,0,0,0
19,3,33,1,0,0
20,3,40,1,0,0
21,3,27,1,0,0
22,3,21,2,0,0
23,3,15,0,0,0
24,3,19,2,0,0
25,3,13,3,0,0
26,3,21,1,0,0
27,3,11,0,0,0
28,3,13,2,0,0
29,3,13,4,0,0
30,3,10,2,0,0
31,3,9,2,0,0
32,3,11,2,0,0
33,3,40,1,0,0
34,3,24,1,0,0
35,3,24,4,0,0
36,3,12,2,0,0
37,3,7,3,0,0
38,3,15,1,0,0
39,3,14,1,0,0
40,3,18,1,0,0
41,3,23,2,0,0
42,3,21,0,0,0
43,3,5,0,0,0
14,4,7,1,0,0
15,4,9,2,0,0
16,4,48,0,0,0
17,4,28,2,0,0
18,4,30,1,0,0
19,4,19,0,0,0
20,4,26,0,0,0
21,4,35,0,0,0
22,4,12,1,0,0
23,4,9,0,0,0
24,4,7,2,0,0
25,4,12,0,0,0
26,4,27,2,0,0
27,4,24,0,0,0
28,4,31,1,0,0
29,4,10,0,0,0
30,4,8,2,0,0
31,4,18,1,0,0
32,4,21,2,0,0
33,4,27,1,0,0
34,4,41,0,0,0
35,4,30,1,0,0
36,4,21,1,0,0
37,4,18,1,0,0
38,4,28,2,0,0
39,4,22,1,0,0
40,4,23,0,0,0
41,4,40,3,0,0
42,4,21,2,0,0
43,4,12,2,0,0
44,4,14,3,0,0
45,4,8,0,0,0
13,5,5,3,0,0
14,5,16,0,0,0
15,5,11,1,0,0
16,5,15,1,0,0
17,5,15,3,0,0
18,5,9,3,0,0
19,5,3,3,0,0
20,5,9,0,0,0
21,5,12,2,0,0
22,5,19,4,0,0
23,5,7,2,0,0
24,5,5,0,0,0
25,5,12,0,0,0
26,5,23,0,0,0
27,5,20,1,0,0
28,5,12,1,0,0
29,5,15,1,0,0
30,5,9,1,0,0
31,5,11,2,0,0
32,5,35,1,0,0
33,5,21,2,0,0
34,5,17,2,0,0
35,5,19,2,0,0
36,5,27,3,0,0
37,5,20,2,0,0
38,5,19,1,0,0
39,5,19,1,0,0
40,5,22,1,0,0
41,5,43,1,0,0
42,5,14,1,0,0
43,5,15,1,0,0
44,5,19,2,0,0
45,5,21,1,0,0
46,5,3,1,0,0
11,6,3,1,0,0
12,6,9,3,0,0
13,6,17,1,0,0
14,6,36,0,0,0
15,6,42,0,0,0
16,6,60,1,0,0
17,6,19,1,0,0
18,6,15,0,0,0
19,6,12,0,0,0
20,6,4,3,0,0
21,6,12,1,0,0
22,6,4,1,0,0
23,6,26,3,0,0
24,6,14,4,0,0
25,6,17,1,0,0
26,6,24,0,0,0
27,6,57,2,0,0
28,6,20,1,0,0
29,6,18,1,0,0
30,6,33,1,0,0
31,6,15,0,0,0
32,6,22,2,0,0
33,6,7,1,0,0
34,6,12,2,0,0
35,6,15,1,0,0
36,6,11,3,0,0
37,6,18,2,0,0
38,6,17,0,0,0
39,6,19,1,0,0
40,6,19,3,0,0
41,6,31,1,0,0
42,6,20,1,0,0
43,6,11,2,0,0
44,6,15,3,0,0
45,6,16,2,0,0
46,6,12,1,0,0
47,6,11,3,0,0
48,6,8,0,0,0
10,7,11,2,0,0
11,7,21,1,0,0
12,7,21,3,0,0
13,7,37,0,0,0
14,7,20,2,0,0
15,7,15,0,0,0
16,7,22,0,0,0
17,7,9,0,0,0
18,7,21,0,0,0
19,7,8,0,0,0
20,7,8,0,0,0
